,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///36847,72","36847,72",3884120351129,29832056016187,"6970767,32",363,1049238143891,84624092151,52790,166872554816,408594552797,380251592698,139,125546962599,125324760009,1083797241022,278417696784,17304948023,153354453038,146779866672,1926886,1926886,"///36847,72","29573,06",0,10:19.95
,"///36863,06","36863,06",3898691312053,29871976172777,"6979840,51",281,1051495313819,84633887162,49321,167093529275,408611278466,380039071101,19,124730602357,124754103769,1084252174978,278735272049,17298420231,153554544425,146926999474,1941708,1941708,"///36863,06","29574,53",0,10:21.26
,"///36927,68","36927,68",3897035157032,29873902970643,"6980626,06",283,1051961739483,84758618828,43701,167112381838,407483893543,379676510323,23,124955116558,124863088185,1082453998753,278518808552,17475469367,154206297177,147784840175,1969932,1969932,"///36927,68","29656,11",0,10:19.61
,"///37035,83","37035,83",3888077131319,29812955974467,"6966147,53",299,1049976719645,84551052079,29281,166767453008,409973088200,380790559771,199,125422013959,125381852356,1084954081814,278807144938,17348899475,153296475046,146634439001,1947292,1947292,"///37035,83","29745,03",0,10:21.58
,"///37124,98","37124,98",3886484650868,29821003256725,"6967905,8",299,1049779232345,84808920971,33454,166809084499,408425312887,379919534496,11,125039220581,125218270533,1085824920443,278403789127,17317545934,153358631441,146935939128,1947510,1947510,"///37124,98","29841,51",0,10:20.79
,"///37183,44","37183,44",3886915225191,29878591187977,"6981834,12",285,1049441210207,84693217790,30432,167138809602,409594822821,380684267682,31,125317462342,125048201830,1083697234319,278554508972,17304620937,153551362558,146853421474,1942370,1942370,"///37183,44","29895,49",0,10:21.20
,"///37194,24","37194,24",3888167895563,29841758773941,"6972888,87",288,1049890461200,84626704116,30968,166920090647,409226858883,380730489851,31,124831764723,124702745414,1083684117675,278554737465,17414471583,153380399924,146765723274,1909045,1909045,"///37194,24",29911,0,10:20.77
,"///37256,60","37256,6",3888693252121,29867423496033,"6979147,71",246,1049755343882,84753617372,25406,167076392948,409236093130,380359571833,56,124777062627,124931221109,1083835242468,278656755452,17322904570,153293072090,146584963238,1931469,1931469,"///37256,60","29975,16",0,10:20.62
,"///37347,98","37347,98",3892008361790,29898899763134,"6986286,8",256,1050398883925,84869317283,27680,167246198466,410050108843,380810388937,75,125391531565,125233238043,1084399151683,278692943787,17375103377,153565819078,146691898083,1942489,1942489,"///37347,98","30046,77",0,10:22.40
,"///37268,05","37268,05",3894096340273,29820051353726,"6967928,81",271,1051086402430,84617722981,65056,166813498185,408147211023,380061354161,43,124865161645,124770393771,1084009855362,278230375602,17207731767,153278394564,146842410653,1904573,1904573,"///37268,05","29999,49",0,10:19.32
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"37104,958","3890428967733,9",29851861896561,"6975337,353","287,1","1050302345082,7","84693715073,3","38808,9","166984999328,4","408934322059,3","380332334085,3","62,7","125087689895,6","125022787501,9","1084090801851,7","278557203272,8","17337011526,4","153483944934,1","146880050117,2","1936327,4","1936327,4",#DIV/0!,"29821,815",0,#DIV/0!
Erro padrão,#DIV/0!,"56,1820226446545","1524653453,71058","9446783926,51477","2226,89031559557","10,0104944932805","289125978,164134","31789986,4883961","4181,19659494212","52997108,1718775","261174641,165333","128586121,702156","19,1926201094761","95844864,4339144","79963370,5129591","279503392,668124","55158078,8520778","23002566,2108544","87879153,7929017","107082953,859178","6094,97668977404","6094,97668977404",#DIV/0!,"55,3615103007296",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,299,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,31,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"37154,21",3888430573842,29854591134987,"6976018,29",284,"1049933590422,5",84663552476,32211,"166998241797,5","408919068674,5","380305582265,5",37,"124997168569,5","124989711469,5",1083922548915,"278554623218,5",17320225252,"153369515682,5","146811138662,5",1942039,1942039,#VALOR!,"29868,5",0,#VALOR!
Primeiro quartil,#VALOR!,"36954,7175",3887205701723,"29823766446590,5","6968638,4375","273,5","1049761315997,75","84624745142,25","29568,75","166828262342,75","408467622864,5",380044641866,25,"124840113953,5","124793567374,5","1083722235994,75",278442974726,"17304702708,5",153310969544,"146710354380,75","1928031,75","1928031,75",#VALOR!,"29678,34",0,#VALOR!
Terceiro quartil,#VALOR!,"37241,01","3893574345652,25","29873421271176,5","6980429,6725","296,25","1050914522803,75",84757368464,47916,"167107668697,25","409505140398,25","380718934308,75","70,25","125373014259,25","125229496165,5","1084362407506,75","278683896703,25","17368552401,5","153553748958,25",146908604974,"1946091,25","1946091,25",#VALOR!,"29959,12",0,#VALOR!
Variância,#DIV/0!,"31564,1966844447","2,32456815391161E+019","8,92417265542577E+020","49590404,7769335","1002,1","8,35938312493676E+017","1,0106032409324E+016","174824049,655556","2,80869347458168E+016","6,82121931878403E+017","1,65343906944016E+017","3683,56666666667","9,18623803835542E+016","6,39414062379278E+016","7,81221465129915E+017","3,04241366265203E+016",5291180522847418,"7,72274567135647E+016","1,14667590072069E+017","371487408,488889","371487408,488889",#DIV/0!,"30648,9682277779",0,#DIV/0!
Desvio padrão,#DIV/0!,"177,663155112265","4821377556,16755","29873353771,2554","7042,04549665319","31,6559631033396","914296621,722773","100528764,089309","13222,1045849576","167591571,225455","825906733,159624","406625020,06642","60,6923938122947","303088073,641234","252866380,204898","883867334,575679","174425160,531731","72740501,255129","277898284,833794","338626032,773721","19274,0086253195","19274,0086253195",#DIV/0!,"175,068467257179",0,#DIV/0!
Curtose,#DIV/0!,"-1,35143478733128","-0,786461722904889","-1,53016937816736","-1,56793032823826","3,72074041512457","-0,584258889119545","-0,788263944581778","-0,119184657409203","-1,59303183735742","-0,670616525783075","-1,43615682098471","2,00619417369094","-1,72911044220136","-1,73202245251198","1,68612999545952","-0,168072445437643","1,03609625264456","5,81021021083626","6,99685558581108","0,228508425724513","0,228508425724513",#DIV/0!,"-1,42099147680428",#DIV/0!,#DIV/0!
Inclinação,#DIV/0!,"-0,339236401184153","0,64439324335047","0,086059974637617","0,070882498072684","1,47385727824141","0,81683060698042","0,442573015180712","0,97452488951916","0,091136317209216","-0,220185636970195","-0,177380552353616","1,62911375132167","0,34267319202425","0,150672638134651","0,268672236278691","-0,433016887563195","0,317825098415885","2,26924872554847","2,47247879012164","-0,232911026716882","-0,232911026716882",#DIV/0!,"-0,357244283243006",Erro:502,#DIV/0!
Intervalo,0,"500,260000000002",14570960924,85943788667,"20139,2699999996",117,2723595592,318265204,39650,478745458,2566215300,1133878614,188,816360242,679106942,3370921690,576769336,267737600,927902613,1199876937,65359,65359,0,"473,709999999999",0,0
Mínimo,0,"36847,72",3884120351129,29812955974467,"6966147,53",246,1049238143891,84551052079,25406,166767453008,407483893543,379676510323,11,124730602357,124702745414,1082453998753,278230375602,17207731767,153278394564,146584963238,1904573,1904573,0,"29573,06",0,0
Máximo,0,"37347,98",3898691312053,29898899763134,"6986286,8",363,1051961739483,84869317283,65056,167246198466,410050108843,380810388937,199,125546962599,125381852356,1085824920443,278807144938,17475469367,154206297177,147784840175,1969932,1969932,0,"30046,77",0,0
Soma,0,"371049,58",38904289677339,298518618965610,"69753373,53",2871,10503023450827,846937150733,388089,1669849993284,4089343220593,3803323340853,627,1250876898956,1250227875019,10840908018517,2785572032728,173370115264,1534839449341,1468800501172,19363274,19363274,0,"298218,15",0,0
Contagem,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0
