,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///36762,70","36762,7",3956016063007,29934669094940,"6996491,05",1092,1064829138957,84911843875,148025,167488569615,413088262661,383267601911,88,130376591335,130533622297,1106485166187,280064655326,17406470320,153729867721,146851013554,3033517,3033517,"///36762,70","29431,32",0,10:25.16
,"///37040,62","37040,62",3952123421047,29967569958338,"7003957,89",533,1065411666061,84884320793,146278,167659977101,412233139418,382540774163,127,131200822145,131094947661,1106105402869,279882379430,17535289522,153741369201,146723119483,2988496,2988496,"///37040,62","29723,28",0,10:23.78
,"///36987,42","36987,42",3955241170665,29943761765496,"6999066,83",510,1065726077154,84721792672,144732,167551101953,413275797956,383253110734,147,130853933911,130803984182,1104917133371,279986007571,17455358893,153639211680,146738297793,3032906,3032906,"///36987,42","29664,04",0,10:24.34
,"///37117,73","37117,73",3957078150101,29907678766313,"6990754,14",465,1066973780403,84943600607,145613,167346386636,413490701321,383275060669,79,130630903031,130437067090,1104353278840,279884125364,17238166843,152946730360,145927633158,2950731,2950731,"///37117,73","29791,92",0,10:24.65
,"///37148,43","37148,43",3949543607600,29914122992877,"6991761,34",713,1064294697638,84749427248,143073,167367896301,411923730267,382377187814,2959,131402603775,131409628904,1107283931045,279699305176,17460786380,153581460172,146758753674,2805762,2805762,"///37148,43","29854,81",0,10:21.53
,"///37276,30","37276,3",3953223333140,29962872110655,"7003797,9",419,1064545108932,84895616444,144261,167661168891,411550177268,382139289501,163,130955752610,131003038003,1108840269154,279490742936,17308788922,153504494743,146768068347,2960840,2960840,"///37276,30","29962,27",0,10:23.39
,"///37346,80","37346,8",3967438051787,29952353153211,"7000604,67",504,1069379665076,84922774211,163061,167585041308,412407380745,382393118063,159,130606503295,131087970440,1103608888430,279656340913,17447312224,153639997161,146688468642,2994568,2994568,"///37346,80","30029,12",0,10:23.74
,"///37397,90","37397,9",3952050561237,29915613483285,"6991903,02",465,1064508686368,84865387426,142311,167372639147,413196607988,383508377220,119,130895499952,130357141859,1105154404843,279775792513,17389600593,153299823565,146383410229,2981827,2981827,"///37397,90","30080,17",0,10:23.79
,"///37355,91","37355,91",3956300368086,29921509986589,"6993497,07",651,1064980974721,84827485072,141927,167411236743,413138461765,383150926156,115,131204647657,131194781802,1105665486386,279762208286,17364843033,153159501791,146163122591,2999921,2999921,"///37355,91","30046,07",0,10:23.14
,"///37417,64","37417,64",3955952106838,29912818393481,"6991927,33",578,1066732926049,84911576702,144348,167379913999,411691758146,382314553238,171,130804801359,130827483882,1104413485485,279520439116,17372502246,153506016352,146752875225,2941402,2941402,"///37417,64","30100,42",0,10:23.73
