,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///27833,91","27833,91",2995995104135,22318936221215,"5214965,03",280,812529982931,62836988107,21027,124841993785,306725508986,284163054626,40,99199668853,98748222479,830197562137,208767987152,12749599732,114354208247,109111186112,1449638,1449638,"///27833,91","22361,5",0,7:46.88
,"///27877,36","27877,36",3007339097254,22340955380619,"5220143,95",264,815665604242,62940042710,43496,124962702609,306742834828,284260288551,43,98956911014,98482193581,827295691814,208750898101,12938076199,114539514759,109250881671,1448808,1448808,"///27877,36","22397,37",0,7:47.55
,"///27833,62","27833,62",2999036528664,22338679626238,"5220072,05",262,813389637568,62909403079,43582,124956731143,305513313593,283443127332,35,99904275905,99657364600,830439111482,208748136995,12946009115,114777156974,109637305147,1447817,1447817,"///27833,62","22358,47",0,7:47.07
,"///27862,87","27862,87",2992063163586,22331322132277,"5217700,38",283,812227561499,62991484562,42788,124911549439,306531249103,284060422940,51,100134830333,100514591564,833700939413,208790662882,12770333752,115280564900,109954771449,1489516,1489516,"///27862,87",22380,0,7:47.71
,"///27752,42","27752,42",3001592641656,22302674168449,"5211428,61",275,813307805765,62616338955,42963,124758289398,306439179039,284353779387,39,98115512595,97957578066,829140884721,209031383165,12871681847,114577377291,109447284776,1435614,1435614,"///27752,42","22276,03",0,7:47.22
,"///27779,42","27779,42",2996078848197,22331623135888,"5217873,71",263,812782243139,62847791825,21549,124908632827,307283483177,284605767731,48,99421883365,99582384231,832050682552,209027971681,12857940500,114842119122,109432927019,1421341,1421341,"///27779,42","22299,38",0,7:47.54
,"///27738,19","27738,19",2994027870722,22294856418901,"5209378,27",274,811874773421,62941606764,22392,124704087015,304235309133,283083573469,31,100339456854,100097558131,832085324861,208244775825,12887066365,114900260190,110057198957,1394974,1394974,"///27738,19","22289,39",0,7:44.56
,"///27731,31","27731,31",2996017308006,22319314950520,"5215219,04",289,813000517403,62858640628,39672,124850909842,305766294032,283744876447,47,99439618128,99355370174,831854983470,208504027247,12835900474,114654009049,109547968431,1396626,1396626,"///27731,31","22266,36",0,7:46.14
,"///27766,11","27766,11",3000313840809,22383559600688,"5230215,5",281,812242182018,62977540801,39760,125210566875,304892179137,283553301626,63,98882011245,99089570303,832171084503,208668748008,12820160960,115150468162,110119063310,1410990,1410990,"///27766,11","22306,41",0,7:45.50
,"///27689,94","27689,94",3005333797129,22332268429449,"5217948,13",274,812724715637,62671625970,39121,124917107255,307318900465,284846865164,31,98145207169,98519541709,831039011629,208966703723,12968058785,114727147142,109449573370,1430928,1430928,"///27689,94","22218,96",0,7:46.68
,,,,,,,,,,,,,,,,,,,,,,,,,,
