,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///27875,10","27875,1",3094687567343,22439544552610,"5244264,56",625,837029146425,62834554243,102824,125534405675,309269594933,286558225707,43,104707717321,105392622897,859171858692,209882569477,12974412355,114806372717,109520617330,2832664,2832664,"///27875,10","22420,63",0,7:44.70
,"///27887,20","27887,2",3105898771707,22416414274607,"5239114,18",454,839035573590,62861964972,91854,125414921737,308639684220,286411558242,75,104120788685,104804905482,857726182052,209848945486,13063563124,114538244382,109303631656,2923288,2923288,"///27887,20","22435,52",0,7:44.52
,"///27908,61","27908,61",3091626932359,22434957019634,"5243794,27",475,837459930385,62942352056,113691,125527434133,309777351721,287129420707,443,105129901572,105495742929,857544445698,210028988728,13091539194,114890868601,109530830623,3010326,3010326,"///27908,61","22445,05",0,7:45.60
,"///27919,04","27919,04",3093617036730,22446312036647,"5246109,29",533,837815071613,63073741969,129874,125586848056,307689861521,285805625964,123,105876868515,105568490874,856728118984,210074430157,13079634391,115286074637,110105077301,3035006,3035006,"///27919,04","22464,48",0,7:44.70
,"///27846,63","27846,63",3101813715991,22443414847949,"5245092,78",563,839619779795,62905710113,128930,125556527323,309146107656,286621560622,51,103719961989,103863727416,854330984673,210221446123,13051902110,114789380659,109391659396,2987397,2987397,"///27846,63","22392,61",0,7:44.71
,"///27873,07","27873,07",3098360469650,22404017047483,"5236075,51",550,838835375329,62979024182,108090,125344240203,309556204144,287118342892,135,104322314588,104652876931,856767242318,210066103366,12983447228,114768151071,109418270322,2968004,2968004,"///27873,07","22407,35",0,7:45.83
,"///27863,70","27863,7",3096462276196,22455985572243,"5248215,05",498,837966261539,62950791000,93977,125629446325,308691190253,286306893629,123,103794537161,104001319956,856675286653,210244609945,13159704694,115007184574,109622126443,3016951,3016951,"///27863,70","22404,71",0,7:45.17
,"///27811,57","27811,57",3096502582107,22458496620148,"5248964,83",520,838364098496,62948627599,110398,125651371268,309557226136,286881845254,195,105994653618,106092963091,860088908944,210105361361,12913664913,114666761698,109357128769,3000803,3000803,"///27811,57","22353,93",0,7:45.07
,"///27756,45","27756,45",3092843356119,22424026769884,"5240683,89",410,837330700681,62792775988,92413,125452836002,309516416162,286735713649,119,105171700253,105814837956,859091170243,210021942636,12912101366,114731541118,109366587011,2957089,2957089,"///27756,45","22295,52",0,7:45.41
,"///27805,06","27805,06",3102891453287,22457215303637,"5248482,39",444,838888096995,62858573407,92619,125643035555,309823265431,287319059272,51,104427658919,104818777252,857977527609,210022416787,12999939931,114756574245,109497050003,2956933,2956933,"///27805,06","22341,3",0,7:45.64
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"27854,643","3097470416148,9","22438038404484,2","5244079,675","507,2","838234403484,8","62914811552,9",106467,"125534106627,7","309166690217,7","286688824593,8","135,8","104726610262,1","105050626478,4","857610172586,6","210051681406,6","13022990930,6","114824115370,2","109511297885,4","2968846,1","2968846,1",#DIV/0!,"22396,11",0,#DIV/0!
Erro padrão,#DIV/0!,"15,9788999795216","1491394151,87616","5810810860,812","1357,55284779822","20,2883655767974","268396792,888827","25809323,2646877","4588,44009077886","32471241,0195618","208870445,769311","142969710,636471","37,2942652725888","253729550,180172","236546205,733217","516878606,95088","39665964,175762","25338500,1227762","64605141,8565296","72749987,228796","18462,9179543153","18462,9179543153",#DIV/0!,"16,4445678974345",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,51,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"27868,385","3096482429151,5","22441479700279,5","5244678,67",509,"838165180017,5","62924031084,5",105457,125545466499,"309393005547,5","286678637135,5",121,104567688120,"105105700074,5",857635313875,210047546047,"13025921020,5",114778765865,"109457660162,5","2977700,5","2977700,5",#VALOR!,"22406,03",0,#VALOR!
Primeiro quartil,#VALOR!,"27820,335","3093884669383,25","22426759332321,5","5241461,485","459,25",837548715692,"62859421298,25","92958,5","125471485534,75","308804919603,75","286448225108,25",57,"104171170160,75","104690884068,75","856737899817,5","210022061173,75","12976671073,25","114737799399,75","109372855107,25",2956972,2956972,#VALOR!,"22363,6",0,#VALOR!
Terceiro quartil,#VALOR!,"27884,175","3100950404405,75",22453567188344,"5247688,61","545,75","838874916578,5","62950250149,75","112867,75","125618796757,75",309556970638,"287059218482,5",132,"105161250582,75","105550303887,75","858812759584,5",210097628560,"13075616574,25",114869744630,"109528277299,75","3007945,25","3007945,25",#VALOR!,"22431,7975",0,#VALOR!
Variância,#DIV/0!,"2553,25244555554","2,22425651625042E+019","3,37655228601307E+020","18429497,3456506","4116,17777777778","7,20368384330078E+017",6661211673811493,"210537824,666667","1,05438149335047E+016","4,36268631158706E+017","2,04403381594763E+017","13908,6222222222","6,43786846346323E+017","5,59541074467813E+017","2,67163494323483E+018","1,57338871399284E+016",6420395884719307,"4,17382435430232E+016","5,29256064178999E+016","3408793393,87778","3408793393,87778",#DIV/0!,"2704,23813333332",0,#DIV/0!
Desvio padrão,#DIV/0!,"50,529718439306","4716202408,98376","18375397372,6096","4292,95904309028","64,1574452248356","848745182,213177","81616246,3839859","14509,9215940909","102683080,074103","660506344,525702","452109922,026451","117,934821923901","802363288,259329","748024781,987744","1634513671,77972","125434792,382052","80127372,880429","204299396,824913","230055659,391157","58384,8729884529","58384,8729884529",#DIV/0!,"52,0022896931791",0,#DIV/0!
Curtose,#DIV/0!,"-0,001851854356746","-0,733667823686734","-0,478716652319676","-0,418716982215048","-0,212045386174621","-1,15045389859937","0,282684322185057","-0,874614631237917","-0,480693037010385","1,70545695351672","0,188901564774583","5,93847564663233","-0,993954934744313","-0,941091263729598","0,73757530488805","-0,165894385437629","-0,699322817454798","2,43636435881866","5,60307804461149","2,74035546834801","2,74035546834801",#DIV/0!,"-0,013136220306897",#DIV/0!,#DIV/0!
Inclinação,#DIV/0!,"-0,726434150024691","0,61086989477091","-0,674881617853143","-0,688781163877022","0,289579423635071","0,142050855605193","0,440607657518903","0,63887751178237","-0,660027011071161","-1,35033636978192","-0,520157350139881","2,28158245341918","0,422033850032703","-0,35563434323976","-0,477909026575888","-0,069608575946859","0,078590016233041","1,24497842007319","2,19640368548632","-1,47397840519997","-1,47397840519997",#DIV/0!,"-0,733553330247743",Erro:502,#DIV/0!
