,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///15625,02","15625,02",6922549358746,10909459337555,"2712102,17",496,1159595852017,85210773632,46605,64876756444,144632532544,114478198980,59,1053467903620,1052843159897,1692455941382,75803628761,1753238213,40951720630,34454431313,3222705,3222705,"///15625,02","12790,3",0,4:06.86
,"///15562,70","15562,7",6923489482388,10840406925780,"2698301,62",485,1160391565889,85523384851,47618,64544814266,142767900138,113980174994,47,1053409489679,1053336757981,1693490196245,75029147512,1803132697,40922242132,34323715859,3173871,3173871,"///15562,70","12741,03",0,4:05.59
,"///15670,60","15670,6",6913502867707,10990427583725,"2730555,45",605,1158607650863,85412146862,55168,65317404883,146861361372,114841094499,55,1051341639856,1052244850019,1690561841133,77305302322,1789798927,41773171207,34520904861,3132005,3132005,"///15670,60","12845,56",0,4:05.92
,"///15559,47","15559,47",6909889536640,10868818871555,"2702143,27",509,1158101588411,85072071337,47167,64631779608,143321126823,113919259683,123,1055297112692,1053650860338,1693807982649,75463142299,1726483719,40871344882,34463799291,3220025,3220025,"///15559,47","12734,47",0,4:05.92
,"///15609,22","15609,22",6924052473851,10937974165262,"2716959,05",544,1160358919852,85165249828,47507,64988265393,144989906078,114462865664,111,1052074702244,1051067272372,1688551083456,76220314542,1762376635,41200647569,34429337543,3169113,3169113,"///15609,22","12785,65",0,4:05.78
,"///15621,13","15621,13",6907285088756,10925038030645,"2713248,29",544,1157839215147,85010050605,46928,64898148982,144585337904,114409765995,39,1052902066294,1053997382561,1691968398614,76133677644,1763271971,40940595467,34460416872,3179711,3179711,"///15621,13","12791,6",0,4:06.36
,"///15493,30","15493,3",6914520378466,10854140125933,"2698858,05",556,1159772521015,84917015237,46809,64555645657,143342635898,114270726363,139,1054101001681,1055567757287,1690670663912,75339958606,1799574633,40540304162,34370460567,3173086,3173086,"///15493,30","12687,4",0,4:04.11
,"///15554,36","15554,36",6924180806250,10884109676851,"2703909,08",550,1160314397830,85099537445,47211,64678385761,144089851051,114412937625,39,1053637565098,1054076921204,1692365839973,75512205270,1717491374,40847905818,34428890876,3241418,3241418,"///15554,36","12748,8",0,4:04.09
,"///15652,71","15652,71",6917472456611,10943368582797,"2716203,74",651,1160870850173,85434523235,46654,64970651386,145391498399,114705024734,127,1052233426268,1052271215679,1690194363936,76555588038,1782317390,41359329911,34363385128,3145019,3145019,"///15652,71","12809,17",0,4:07.69
,"///15520,53","15520,53",6926784987484,10879292604924,"2700461,83",619,1162106531802,85225655639,46919,64597683662,143489252076,114298731574,55,1055419972782,1055604852242,1691981117335,74952600705,1693815752,41078362003,34514007686,3235468,3235468,"///15520,53","12720,77",0,4:03.51
