,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///16006,91","16006,91",6787000764472,11159854779185,"2761133,41",257,1125104335032,84906934078,12309,66052945492,155141710184,114855676161,127,1046782388681,1047200728630,1652799745816,81355099970,1517913330,44379344436,34135258140,972078,972078,"///16006,91","13079,94",0,4:16.07
,"///16003,19","16003,19",6792925633528,11136393996662,"2758176,11",250,1126061911885,85228755257,12459,65978378194,154104957531,114480292140,119,1046952035521,1046602660095,1653648010262,80920751246,1534102694,44279504919,34314532502,1038667,1038667,"///16003,19","13071,06",0,4:16.57
,"///16118,68","16118,68",6782150870844,11223686372883,"2775379,1",240,1125729053256,85108671321,12752,66394707512,157595775392,114994194015,95,1045246157170,1045146578857,1652787472450,82732826209,1551145657,45632691630,34335384783,1016036,1016036,"///16118,68","13161,97",0,4:18.91
,"///15917,34","15917,34",6783342044366,11113245761368,"2752164,87",245,1126449635987,85162339212,11940,65834264326,153849235053,114409952790,127,1043992222726,1043713549755,1653062690600,80951864542,1509543963,44177070766,34379780916,1053001,1053001,"///15917,34","13006,21",0,4:14.55
,"///15819,11","15819,11",6783464601130,10987299333085,"2725486,21",244,1124628730983,84927489233,33720,65201420747,149717253871,113997775170,23,1045340584773,1046612753093,1655314075628,78286806795,1513237844,42777107066,34278440440,905419,905419,"///15819,11","12913,97",0,4:13.96
,"///16147,27","16147,27",6775838956750,11210385770983,2771241,246,1123104109263,84909504369,12205,66292954835,157783392023,115203020090,35,1049770521875,1049768687005,1657779878369,82597293377,1503700201,45253964424,34338016688,1059304,1059304,"///16147,27","13189,51",0,4:19.02
,"///16093,27","16093,27",6780374363653,11170436353540,"2763417,12",245,1124958396407,85224709643,12564,66108071969,155343414655,114826606725,67,1046169222388,1046371835983,1654657268755,81612624904,1563429334,44754545372,34401792996,1008076,1008076,"///16093,27","13146,78",0,4:17.97
,"///15964,43","15964,43",6795194624186,11124070137756,"2753951,13",251,1126474295415,84954659367,12199,65880715643,154426742115,114996971547,23,1043281981428,1046247727211,1653907579054,80596441602,1481898694,44115156269,34140940924,987401,987401,"///15964,43","13024,23",0,4:17.30
,"///16164,85","16164,85",6783474422146,11260057443343,"2783210,32",269,1125345488500,85320355795,11912,66584645281,158874764738,114818239405,27,1046748821588,1045778608230,1652785646805,83685289905,1482670223,45948953795,34338950881,1007822,1007822,"///16164,85","13204,16",0,4:19.34
,"///16129,41","16129,41",6795152189516,11227388352339,"2774362,44",259,1126829962040,85055741005,12460,66366566721,157389404545,114854628497,115,1045073031439,1045107894050,1651944675032,82895553633,1545407567,45292908926,34230264740,1029223,1029223,"///16129,41","13164,13",0,4:19.77
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"16036,446","6785891847059,1","11161281830114,4","2761852,171","250,6","1125468591876,8",85079915928,14452,66069467072,"155422665010,7",114743735654,"75,8","1045935696758,9","1046255102290,9","1653868704277,1","81563455218,3","1520304950,7","44661124760,3",34289336301,"1007702,7","1007702,7",#DIV/0!,"13096,196",0,#DIV/0!
Erro padrão,#DIV/0!,"35,8994067484254","2072932823,42898","24743023094,0926","5141,37654886109","2,76967707704547","348829246,607805","47960691,7717273","2142,50552183912","123104167,854408","842755582,291292","111171381,877321","14,4197395569022","573144663,890015","502585816,008595","536394617,159308","485539789,183838","8800236,33753751","291904278,531559","29398199,3434266","14278,7224623447","14278,7224623447",#DIV/0!,"29,6727882897596",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,245,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,23,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"16050,09",6783469511638,"11165145566362,5","2762275,265",248,1125537270878,85082206163,12384,"66080508730,5","155242562419,5",114840617611,81,"1045754903580,5",1046309781597,1653355350431,81483862437,1515575587,44566944904,"34324958642,5",1012056,1012056,#VALOR!,"13113,36",0,#VALOR!
Primeiro quartil,#VALOR!,"15974,12","6782448664224,5","11127151102482,5","2755007,375",245,"1124994881063,25","84934281766,5","12200,5","65905131280,75",154185403677,"114564778956,25",29,"1045116312871,75","1045304586200,25","1652790540791,5",80928529570,"1505161141,5","44202679304,25",34242308665,"992506,25","992506,25",#VALOR!,"13035,9375",0,#VALOR!
Terceiro quartil,#VALOR!,"16126,7275",6791444416264,11220361222408,"2773582,08","255,5","1126352704961,5","85209117035,25",12538,"66348163749,5","157544182680,25","114959564551,5",118,"1046773996907,75","1046610229843,5","1654469846329,75",82698943001,"1542581348,75","45283172800,5","34338717332,75",1036306,1036306,#VALOR!,"13163,59",0,#VALOR!
Variância,#DIV/0!,"12887,6740488889","4,29705049044923E+019","6,12217191834801E+021","264337528,171787","76,7111111111111","1,21681843288969E+018","2,30022795522263E+016","45903299,1111111","1,51546361431264E+017","7,10236971483135E+018","1,2359076148513E+017","2079,28888888889","3,28494805745599E+018","2,52592502453025E+018","2,8771918531748E+018","2,35748886880686E+018",774441595965155,"8,52081078250299E+017",8642541246358469,"2038819151,56667","2038819151,56667",#DIV/0!,"8804,74364888893",0,#DIV/0!
Desvio padrão,#DIV/0!,"113,523891973843","6555189158,55922","78244309175,4794","16258,460202977","8,75848794662133","1103094933,76123","151665024,155955","6775,19734849924","389289559,879614","2665027150,86195","351554777,360699","45,599220266238","1812442566,66411","1589315898,28148","1696228714,87745","1535411628,45891","27828790,7743968","923082378,907917","92965269,0328946","45153,285058417","45153,285058417",#DIV/0!,"93,8335955236126",0,#DIV/0!
Curtose,#DIV/0!,"-0,377672130259184","-0,942260513020713","1,82831528690246","2,01924032238629","0,787026209756701","1,1666536731201","-1,51603833958248","9,95856215422835","1,97168453457716","1,19924153543853","1,087584703022","-2,13242071655277","1,38558756729785","2,44252998933104","2,43474519714637","1,27196579607606","-1,03856445883191","0,679350211822142","-0,528598680673733","2,15417404801251","2,15417404801251",#DIV/0!,"-0,246447002970657",#DIV/0!,#DIV/0!
Inclinação,#DIV/0!,"-0,699670491271945","0,32901105414647","-1,11030629105903","-1,11616828735748","1,06607394854121","-0,960615554016131","0,20587212341443","3,15333322744486","-1,09705232985192","-0,886031857356462","-1,08039839212249","-0,0920483375995","0,732316231462496","0,861938313474748","1,47778396947345","-0,842846649977558","0,076247156157732","-0,6228309458415","-0,798618494750761","-1,28704038204721","-1,28704038204721",#DIV/0!,"-0,735332164647848",Erro:502,#DIV/0!
Intervalo,0,"345,74",19355667436,272758110258,"57724,1099999999",29,3725852777,413421717,21808,1383224534,9157510867,1205244920,104,6488540447,6055137250,5835203337,5398483110,81530640,3171846729,266534856,153885,153885,0,"290,190000000001",0,0
Mínimo,0,"15819,11",6775838956750,10987299333085,"2725486,21",240,1123104109263,84906934078,11912,65201420747,149717253871,113997775170,23,1043281981428,1043713549755,1651944675032,78286806795,1481898694,42777107066,34135258140,905419,905419,0,"12913,97",0,0
Máximo,0,"16164,85",6795194624186,11260057443343,"2783210,32",269,1126829962040,85320355795,33720,66584645281,158874764738,115203020090,127,1049770521875,1049768687005,1657779878369,83685289905,1563429334,45948953795,34401792996,1059304,1059304,0,"13204,16",0,0
Soma,0,"160364,46",67858918470591,111612818301144,"27618521,71",2506,11254685918768,850799159280,144520,660694670720,1554226650107,1147437356540,758,10459356967589,10462551022909,16538687042771,815634552183,15203049507,446611247603,342893363010,10077027,10077027,0,"130961,96",0,0
Contagem,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0
