,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///267083,73","267083,73",25159187392002,224733206514565,"52588569,87",998,6981127586892,649391564576,508551,1258869614972,3054708551094,2857759261915,84,469966897095,470119209816,7211928045093,2062480999008,145554553748,1153845940248,1106043880767,1778664,1778664,"///267083,73","212304,72",0,1:15:30
,"///266431,87","266431,87",25151619889330,225054485481670,"52647641,39",463,6978423195456,649542649262,266214,1260316879839,3057266646607,2859549715438,167,470253924664,470228921056,7214256567900,2062509507267,145527842249,1153559341404,1106081311031,1780078,1780078,"///266431,87","211626,04",0,1:15:32
,"///265930,61","265930,61",25160764377285,224994395446430,"52618423,18",330,6980642380606,649808542260,305044,1259622670466,3052985828970,2857922998345,35,469425705726,469338211310,7210106052319,2062517734306,145412944434,1153816195947,1106402383120,1781512,1781512,"///265930,61","211158,98",0,1:15:29
,"///265801,89","265801,89",25161913472579,225197096284551,"52668182,07",336,6980760077077,649511799528,180137,1260850467203,3057294913938,2860253857437,32,469050481117,468850291239,7210261657776,2062870607452,145468728130,1153963390005,1106474715254,1779583,1779583,"///265801,89",210990,0,1:15:33
,"///265591,67","265591,67",25159898041175,224958682363303,"52612157,61",1137,6980828942531,649695024893,263678,1259461895519,3056966898167,2859632296629,83,469274294947,469450891197,7210933335177,2062686621506,145331713583,1153891030950,1106234144021,1776537,1776537,"///265591,67","210775,41",0,1:15:33
,"///265122,69","265122,69",25157401502949,225189789975198,"52658559,46",375,6980100926864,649246354236,228732,1260555886430,3055856531708,2859530460724,80,469422375635,469012575772,7210230853274,2062561095143,145648516907,1153444946761,1106121848287,1778330,1778330,"///265122,69","210325,11",0,1:15:31
,"///265305,04","265305,04",25160143379991,224963294643158,"52607669,55",352,6981000579170,649594378197,192820,1259377779691,3053359763559,2857346886796,92,468925118089,469037080172,7210966649100,2061857709243,144985681927,1153458893830,1105809382841,1777762,1777762,"///265305,04","210564,27",0,1:15:27
,"///267721,00",267721,25154990427498,225029422735915,"52662357,21",361,6979751500066,649679719826,214234,1260627967053,3057294144503,2860017659052,52,469467201270,469433985098,7211015110052,2062944346001,145339762322,1153699622165,1106004949774,1783330,1783330,"///267721,00","212911,94",0,1:15:32
,"///267705,76","267705,76",25160371282223,224984816730177,"52655296,7",315,6980884800692,649343796986,199612,1260471437903,3056809117155,2859159442122,67,469440433086,469631303539,7211919462237,2062865879798,145621981926,1153720560969,1105919390173,1782269,1782269,"///267705,76","212917,72",0,1:15:31
,"///267505,81","267505,81",25160922317217,224885984675480,"52624084,01",375,6980778799959,649848057853,192190,1259731859424,3053709585428,2858191787331,51,468749182569,468916397387,7210330526198,2062249320145,145277135610,1153695877925,1106119687811,1779736,1779736,"///267505,81","212734,87",0,1:15:29
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"266420,007","25158721208224,9",224999117485045,"52634294,105","504,2","6980429878931,3","649566188761,7","255121,2",1259988645850,"3055625198112,9","2858936436578,9","74,3","469397561419,8","469401886658,6","7211194825912,6","2062554381986,9","145416886083,6","1153709580020,4","1106121169307,9","1779780,1","1779780,1",#DIV/0!,"211630,906",0,#DIV/0!
Erro padrão,#DIV/0!,"319,70965497898","1009106475,1782","42971358415,5328","8685,7020488957","95,3042846186186","259268635,97637","62736328,9285882","30881,3227472169","208614103,344347","559079616,87388","327643714,645897","12,2638130738817","143172539,565562","152142509,769467","398917980,620799","102945034,651058","62214109,042813","56091044,3477239","64621692,8524149","665,535063772835","665,535063772835",#DIV/0!,"319,337638872158",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,375,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"266181,24",25160020710583,224989606088304,"52635862,7",368,6980769438518,"649568513729,5",221483,"1260024369631,5","3056332824431,5",2859344951423,"73,5","469424040680,5",469386098204,"7210949992138,5","2062539414724,5",145440836282,1153710091567,1106100499421,"1779659,5","1779659,5",#VALOR!,"211392,51",0,#VALOR!
Primeiro quartil,#VALOR!,"265644,225","25157847975212,2",224959835433267,"52613724,0025",340,"6980236290299,5",649421623314,194518,"1259502089255,75","3053959326844,5","2857990195591,5","51,25","469106434574,5",469018701872,"7210278874881,5","2062488126072,75","145333725767,75","1153593475534,25","1106014682522,25","1778413,5","1778413,5",#VALOR!,"210829,0575",0,#VALOR!
Terceiro quartil,#VALOR!,"267400,29","25160666103519,5",225048219795231,"52657743,77",441,"6980870836151,75","649691198626,25",265580,"1260534774298,25",3057191709497,"2859611651331,25","83,75",469460509224,"469586200453,5","7211693374190,75",2062821065225,"145547875873,25","1153838504172,75","1106206070087,5","1781153,5","1781153,5",#VALOR!,"212627,3325",0,#VALOR!
Variância,#DIV/0!,"1022142,63486778","1,01829587824657E+019","1,84653764407618E+022","754414200,82191","90829,0666666667","6,72202256010477E+017","3,93584696743601E+016","9536560946,17778","4,3519844114166E+017","3,12570018003844E+018","1,07350403746962E+018","1504,01111111111","2,04983760856525E+017","2,31473432789523E+017","1,59135555262576E+018","1,05976801593075E+017","3,87059536399102E+016","3,14620525601833E+016","4,17596318711186E+016","4429369,21111111","4429369,21111111",#DIV/0!,"1019765,27600445",0,#DIV/0!
Desvio padrão,#DIV/0!,"1011,01069968017","3191074863,18728","135887366744,528","27466,6015521016","301,378610167787","819879415,530404","198389691,45185","97655,3170399737","659695718,601887","1767964982,69577","1036100399,3193","38,7815821120169","452751323,417751","481116859,805935","1261489418,35664","325540783,3023","196738287,173367","177375456,476321","204351735,669454","2104,60666422757","2104,60666422757",#DIV/0!,"1009,83428145634",0,#DIV/0!
Curtose,#DIV/0!,"-1,78360723757874","1,76055028599731","0,804652815304818","-1,38648616786377","1,59532213574844","3,81327791079522","-0,95033739749589","5,75539668518604","-1,23392477768335","-1,72473431179947","-1,5839551056464","3,38823108274282","0,253498997258404","-0,57460874285748","3,59268377456981","1,2401192369264","1,51830970642405","-1,01606684957762","-0,16301951110461","-0,564013271018296","-0,564013271018296",#DIV/0!,"-1,80352816586268",#DIV/0!,#DIV/0!
Inclinação,#DIV/0!,"0,189353766821891","-1,50243828172318","-0,30309154935852","-0,291108695801243","1,75623356370873","-1,92962936510849","-0,159403326302775","2,27176556808612","-0,294860909140456","-0,502647408963336","-0,344953150892119","1,53201389767626","0,585613019742495","0,694577872301503","1,78471755855943","-0,980660293965297","-1,07269907479139","-0,288897128357198","0,44355174711147","0,27708567126906","0,27708567126906",#DIV/0!,"0,195550288777907",Erro:502,#DIV/0!
Intervalo,0,"2598,31",10293583249,463889769986,"79612,200000003",822,2704391436,601703617,328414,1980852231,4309084968,2906970641,135,1504742095,1378629817,4150515581,1086636758,662834980,518443244,665332413,6793,6793,0,"2592,61000000002",0,0
Mínimo,0,"265122,69",25151619889330,224733206514565,"52588569,87",315,6978423195456,649246354236,180137,1258869614972,3052985828970,2857346886796,32,468749182569,468850291239,7210106052319,2061857709243,144985681927,1153444946761,1105809382841,1776537,1776537,0,"210325,11",0,0
Máximo,0,267721,25161913472579,225197096284551,"52668182,07",1137,6981127586892,649848057853,508551,1260850467203,3057294913938,2860253857437,167,470253924664,470228921056,7214256567900,2062944346001,145648516907,1153963390005,1106474715254,1783330,1783330,0,"212917,72",0,0
Soma,0,"2664200,07",251587212082249,2249991174850447,"526342941,05",5042,69804298789313,6495661887617,2551212,12599886458500,30556251981129,28589364365789,743,4693975614198,4694018866586,72111948259126,20625543819869,1454168860836,11537095800204,11061211693079,17797801,17797801,0,"2116309,06",0,0
Contagem,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0
