,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///267360,81","267360,81",25231838541618,225026164985123,"52651519,97",1769,6997801931649,649746054524,480860,1260407336839,3058309889439,2861532177033,64,475291259874,475323788634,7232247269217,2064833201305,145792138420,1153275544771,1105961615044,2839962,2839970,"///267360,81","212480,61",0,1:15:38
,"///267047,02","267047,02",25236800979502,224965909776161,"52632532,75",1310,6998956618744,649853432544,546896,1259918263383,3057973917191,2861795405739,76,476289739945,476278515988,7233724808206,2063618410049,145896530906,1153967322864,1106634479248,2889561,2889561,"///267047,02","212207,95",0,1:15:34
,"///266168,49","266168,49",25231027878027,225162086240007,"52667980,43",1396,7000178157994,649956085721,372600,1260814436382,3057744437293,2860956740818,611,475069657074,474788365626,7227320541581,2064601720557,145782814485,1153488520543,1105989388565,2823275,2823275,"///266168,49","211347,74",0,1:15:33
,"///266137,12","266137,12",25227067065838,225186267373808,"52672082,82",565,6997508828709,649887434790,335121,1260893369286,3057839017415,2860814170080,75,475483589735,475484366577,7231710804315,2064476654596,145395688119,1153467446587,1105979335194,2907821,2907821,"///266137,12","211293,21",0,1:15:35
,"///265527,31","265527,31",25213418197444,225086820605010,"52639516,99",616,6995304730325,649863248390,288521,1260155236392,3057037336522,2860246031864,115,475491957641,475662557831,7235445392347,2063378535796,145456576726,1153714331308,1106000112210,2842543,2842543,"///265527,31","210740,36",0,1:15:31
,"///265544,37","265544,37",25230458766097,225292943902567,"52685676,27",669,6997788646826,649862014574,308257,1261207069836,3057065744289,2860935688292,88,475250543589,475605278663,7231567431042,2064453389285,145675631204,1153465337473,1106171500726,2822145,2822145,"///265544,37","210713,6",0,1:15:34
,"///265040,25","265040,25",25242067663619,224970851622463,"52606882,29",824,6999027531869,649587308539,321695,1259391164160,3054158146890,2857887306322,916,474421356947,474370533988,7230119665364,2064045659745,145417811256,1152977660325,1105129841698,2860917,2860917,"///265040,25","210291,52",0,1:15:28
,"///267103,15","267103,15",25227036698188,225182252884970,"52680826,29",582,6997179892033,649656145307,334792,1261097133723,3058041353120,2861282056580,199,475328267583,475539398170,7230873765893,2064661936415,145748859141,1152825739707,1105509205160,2877478,2877478,"///267103,15","212278,85",0,1:15:33
,"///268556,76","268556,76",25223788780078,224920296894713,"52646336,24",544,6994341401141,650048212428,283756,1260291031427,3056882294663,2860392864219,99,474761170571,475073945341,7236077928880,2063236670025,145481720796,1153946497430,1106287818487,2869073,2869073,"///268556,76","213758,86",0,1:15:31
,"///267607,48","267607,48",25224155127003,224958431209435,"52642353,82",681,6997206634580,649857088476,288137,1260175215591,3055823783535,2859550454263,184,474692996129,474722093745,7231976711164,2064137074356,145291355764,1153386269464,1105818724236,2873871,2873871,"///267607,48","212809,54",0,1:15:31
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"266609,276","25228765969741,4",225075202549426,"52652570,787","895,6",6997529437387,"649831702529,3","356063,5","1260435025701,9","3057087592035,7",2860539289521,"242,7","475208053908,8","475284884456,3","7232106431800,9","2064144325212,9","145593912681,7","1153451467047,2","1105948202056,8","2860664,6","2860665,4",#DIV/0!,"211792,224",0,#DIV/0!
Erro padrão,#DIV/0!,"349,176511161779","2463921862,87572","39687702824,1759","7685,66233104674","137,312393225569","545466183,437461","42994669,2191187","28092,4582244852","179890246,500729","400129700,662281","359638148,992602","90,8642516186769","165085195,592514","175830522,923119","805507056,494563","178085220,779419","65873195,3759829","117061593,738639","129996351,647291","8959,98767137049","8959,78232151255",#DIV/0!,"345,681908346709",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"266607,755","25228762915967,5",225056492795066,"52648928,105",675,"6997648737767,5",649859551525,"328243,5",1260349184133,3057405090791,2860874929186,107,"475270901731,5","475404077605,5","7231843757739,5","2064295231820,5",145578676000,1153466392030,"1105984361879,5",2864995,2864995,#VALOR!,"211777,845",0,#VALOR!
Primeiro quartil,#VALOR!,"265692,5575","25224875519799,2",224967145237736,"52640226,1975","590,5","6997186577669,75",649772899029,293455,"1260160231191,75","3056921055127,75","2860282739952,75",79,"474838292196,75","474859760554,75","7231047182180,25",2063725222473,"145427502623,5","1153303225944,25",1105854446938,"2840607,25","2840613,25",#VALOR!,"210878,5725",0,#VALOR!
Terceiro quartil,#VALOR!,"267296,395","25231635875720,2",225177211223729,"52671057,2225","1188,5","6998667946970,25",649881388190,"363230,25",1260873636060,3057940192247,"2861200727639,5","195,25",475444759197,"475588808539,75","7233355423458,75","2064570454066,75",145774325649,"1153657878616,75",1106128653597,"2876576,25","2876576,25",#VALOR!,"212430,17",0,#VALOR!
Variância,#DIV/0!,"1219242,35947112","6,07091094635697E+019","1,5751137554601E+022","590694054,668708","188546,933333333","2,9753335727383E+018","1,84854158126143E+016","7891862090,94444","3,2360500786093E+017","1,60103777352086E+018","1,29339598210825E+018","82563,1222222222","2,72531218038187E+017","3,09163727914173E+017","6,48841618062535E+018","3,17143458600544E+017","4,33927786904241E+016","1,37034167286302E+017","1,68990514416061E+017","802813790,711111","802776992,488889",#DIV/0!,"1194959,81758222",0,#DIV/0!
