,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///148207,90","148207,9",15464866684540,134367611526772,"31400530,67",323,4326268440393,422747266993,131779,751784967580,1835885931763,1717010397258,39,259019909382,258951640841,4446625914001,1255133550126,74778868413,698656379291,668774075827,1534926,1534926,"///148207,90","116410,17",0,45:03.75
,"///147918,47","147918,47",15467811536844,134430290630752,"31415217,75",355,4327269611781,422819386328,131826,752147924667,1835986683547,1718000424570,23,259058371013,259112079654,4446304520007,1254689508945,74899163845,698466580380,669077635532,1534470,1534470,"///147918,47","116119,01",0,45:04.01
,"///147747,96","147747,96",15463568167584,134091678338696,"31335678,46",299,4325794008444,422941630117,107533,750245410447,1835884809687,1717286185674,23,258476563768,258591044825,4447393566621,1254000687797,74785209831,697171693103,668021270699,1267996,1267996,"///147747,96","115966,07",0,45:02.69
,"///147616,35","147616,35",15465754452346,134280246964863,"31379395,93",308,4326883464112,423115149406,130592,751314419312,1840573279232,1718962783280,31,258795312836,258628511419,4445129016117,1258011712733,75071390306,700143603571,669076124102,1141697,1141697,"///147616,35","115814,67",0,45:04.17
,"///148681,92","148681,92",15468544838070,134330310333783,"31390470,51",500,4326959780221,422957898023,218469,751586469541,1835613710657,1717667801692,32,259278085750,259047716527,4445915220392,1254585573087,74833082957,698225742263,669013294531,1535806,1535806,"///148681,92","116871,49",0,45:04.57
,"///148619,03","148619,03",15470730358128,134441516619751,"31417197,93",325,4328048660462,422906156060,152505,752197798898,1835700964126,1718269740357,39,258898360946,259015524779,4445263235971,1254895130656,75054517448,698903528495,669732459031,1390493,1390493,"///148619,03","116805,74",0,45:04.94
,"///148037,48","148037,48",15464834011100,134257467228497,"31374280,39",297,4326246545637,423114846865,125698,751166320673,1835622723213,1717665500350,27,258692037527,258505997349,4444560925267,1254392679936,74658047378,698094921280,669014722070,1389168,1389168,"///148037,48","116236,2",0,45:03.82
,"///147914,12","147914,12",15471262958574,134215726161620,"31364576,08",314,4326886894807,422788016835,109499,750940720090,1837052096386,1718517225081,31,258682485478,258729703795,4446345589445,1254754488101,75042104438,697733717355,668486897852,1404840,1404840,"///147914,12","116115,49",0,45:04.32
,"///147663,88","147663,88",15470383905046,134301545476655,"31384996,05",322,4327477163405,422832939831,133544,751423461647,1836127357828,1718097713393,75,258604855916,258781369332,4446226351639,1254476783407,74778627986,698111891247,668763035557,1389827,1389827,"///147663,88","115865,41",0,45:03.82
,"///148465,19","148465,19",15465673074977,134301950375430,"31383992,35",291,4326546041599,422778178722,135592,751408753949,1838884539474,1719449872729,27,259118244596,258965799727,4446901705909,1255406228551,74993569148,698749302128,668641599705,1532784,1532784,"///148465,19","116638,56",0,45:07.00
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
