,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///148684,22","148684,22",15576246954872,134631547943015,"31463299,87",904,4354226908039,422753031804,196024,753293742813,1843971131771,1724057973155,43,267066437079,266957959322,4477505862666,1256106714830,75433401236,699579301495,670561376849,2791912,2791912,"///148684,22","116767,28",0,45:13.69
,"///148497,01","148497,01",15576318564660,134689161168795,"31477709,66",537,4355089015319,422723059113,198366,753628302009,1844267008251,1724093927131,71,267172299704,267113832166,4477249797291,1256491415828,75567624272,699850466080,671037526004,2778229,2778229,"///148497,01","116568,91",0,45:14.35
,"///148012,78","148012,78",15577567430264,134627807448888,"31462606,95",518,4354542644332,422720321059,213369,753282845426,1844330320121,1723660711671,63,267187642957,266769779630,4476906519462,1256697846590,75560336342,699801573380,670644080739,2833509,2833509,"///148012,78","116107,06",0,45:12.91
,"///147855,96","147855,96",15575527394887,134583973120489,"31452420,64",485,4354105740144,422868405426,204095,753033418525,1841755701030,1722296760496,15,267431875597,267149171281,4478499461446,1256086722473,75471553304,699812182473,670861503619,2759325,2759325,"///147855,96","115973,48",0,45:11.23
,"///148988,57","148988,57",15577773157033,134483934193071,"31429066,15",1228,4353438008661,422790004288,361978,752472535268,1843948125564,1724307894486,59,268375372440,268245213558,4480231875096,1256156789954,75628468756,699534079652,670548560494,2824387,2824387,"///148988,57","117066,59",0,45:14.08
,"///150837,02","150837,02",15588202208240,132582108469903,"30986417,4",13945,4356845144937,423297091804,859815,741840556138,1844575632703,1726256801121,187,268624720060,268331781774,4480568133489,1257386792131,75559971015,698991903804,670829848100,2761691,2761691,"///150837,02","118786,97",0,45:23.14
,"///148648,81","148648,81",15577745782533,134699813174906,"31480206,74",572,4354370386151,422815587144,192184,753694142383,1845517730057,1724775577289,39,266915563797,267064289389,4477289173083,1256102127062,75654603033,700061257184,670977482660,2757595,2757595,"///148648,81","116710,56",0,45:15.62
,"///148465,12","148465,12",15569806084065,134631972441930,"31464818,05",491,4352736863220,422730590982,223019,753315328122,1845051747893,1724948726498,55,267669591622,267706339979,4479775350896,1255644991422,75464938441,699811483213,670731314777,2792588,2792588,"///148465,12","116552,88",0,45:13.47
,"///148099,68","148099,68",15578025952236,134642176075199,"31466361,31",479,4355746325264,422825629560,218390,753362790843,1843235936417,1723533920349,27,267150877655,267267306712,4479041844351,1256188221071,75447730677,699707023041,670746301181,2789211,2789211,"///148099,68","116196,52",0,45:12.56
,"///148714,25","148714,25",15578477097323,134620270128801,"31461078,65",524,4354124948120,422900322363,185947,753253156092,1844304046526,1724428892152,55,267291135210,267006613935,4476908312973,1256279038831,75568248985,699736797022,670646279811,2792457,2792457,"///148714,25","116803,02",0,45:12.88
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"148680,342","15577569062611,3",134419276416500,"31414398,542","1968,3","4354522598418,7","422842404354,3","285318,7","752117681761,9","1844095738033,3","1724236118434,8","61,4","267488551612,1","267361228774,6","4478397633075,3","1256314066019,2","75535687606,1","699688606734,4","670758427423,4","2788090,4","2788090,4",#DIV/0!,"116753,327",0,#DIV/0!
Erro padrão,#DIV/0!,"264,381200994994","1421712212,10158","204990435295,077","47761,4875262648","1332,95984810746","365462306,36874","54176137,8797411","65839,9171269983","1146810499,13034","325685906,812934","325943699,141359","14,9571239065388","181456193,648094","172686672,166179","449468310,52184","147517981,939182","24345712,5220719","90189957,0953798","52811433,8416714","8156,14394074934","8156,14394074934",#DIV/0!,"250,518921419122",0,#DIV/0!
