,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///33394,27","33394,27",11275215681456,26444699882782,"6184548,57",469,1986361294853,187411177992,66901,147975937086,335243590665,259286096032,47,1927932989463,1928613400114,2519168161596,237462954632,3120674994,135625225021,111815989360,3349037,3349037,"///33394,27","26992,16",0,9:00.15
,"///33330,27","33330,27",11249370343364,26415459798368,"6177112,49",393,1984812934333,187083505262,45734,147799170827,331203447441,258679564485,47,1931115480766,1931283849909,2519266687156,233197997624,3105585534,133491129787,112244304465,3319807,3319807,"///33330,27","26937,88",0,8:59.27
,"///33097,06","33097,06",11250983503242,26303457277434,"6151119,08",381,1984790859348,187782228725,45873,147173388698,325386672110,256907441199,59,1930269104013,1928913867081,2519551151904,228767295391,3124900330,131170433889,112210047243,3304541,3304541,"///33097,06","26727,24",0,8:57.42
,"///33216,36","33216,36",11262667913229,26379382194023,"6168914,47",368,1986103121179,187332400355,45017,147597877094,329824774159,258424331058,43,1928967157489,1928196898333,2516579628407,232505851384,3127707918,132596389420,111924525819,3294602,3294602,"///33216,36","26834,24",0,8:58.40
,"///33283,23","33283,23",11269481793527,26435158751199,"6182240,58",376,1987206852661,187350913153,49928,147915100447,329906296132,258553134048,71,1928884981112,1929660803689,2517592098460,231882877835,3121319788,132741398398,111929312628,3291809,3291809,"///33283,23","26880,42",0,9:00.29
,"///33189,02","33189,02",11256648529870,26376716330865,"6168275,84",453,1985429834451,187348875016,60345,147584661630,332725905643,257852195250,71,1928670492497,1929322345257,2519512111888,235869699905,3125267666,134673973617,111901399109,3318023,3318023,"///33189,02","26800,51",0,8:59.08
,"///33267,43","33267,43",11261218041983,26414484808566,"6176995,47",408,1986166963520,187675972664,60004,147798632944,333350948654,258502482637,91,1928365221699,1927002782835,2518015552224,236704188089,3135050253,135274708144,111897803764,3268602,3268602,"///33267,43","26870,06",0,8:59.85
,"///33168,75","33168,75",11271509481135,26371893476724,"6167352,16",461,1988258951912,187801371541,44784,147560822886,330394403016,257601656348,72,1928462010389,1928508972165,2515968533310,233899045561,3153734528,133674941857,111814835966,3319633,3319633,"///33168,75","26783,58",0,8:58.78
,"///33263,96","33263,96",11255860229364,26457176981260,"6186762,16",509,1983309102881,187083462238,47070,148018649450,331443783623,259103787052,59,1930568172512,1929922669228,2519776413149,233730724436,3133869350,133720224346,112094819171,3294617,3294617,"///33263,96","26855,43",0,9:00.76
,"///33205,74","33205,74",11233681094670,26418163900004,"6177707,78",433,1982979512513,186983537176,45573,147807860673,332956215622,258354836780,79,1933120640189,1932409891355,2519626357824,235788717746,3147028415,134878785412,112288928775,3261580,3261580,"///33205,74","26808,57",0,8:59.80
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"33241,609",11258663661184,"26401659340122,5","6174102,86","425,1","1985541942765,1","187385344412,2","51122,9","147723210173,5","331243603706,5","258326552488,9","63,9","1929635625012,9","1929383547996,6","2518505669591,8","233980935260,3","3129513877,6","133784720989,1",112012196630,"3302225,1","3302225,1",#DIV/0!,"26849,009",0,#DIV/0!
Erro padrão,#DIV/0!,"26,8653639241641","3887264882,95239","14272090015,5686","3334,52208919361","14,9201206429439","518445800,001676","92179490,4069624","2572,48267654247","79594725,0838551","846161265,80324","223767045,893611","4,92713574672615","510319114,325907","492115170,183578","437369110,024922","822044437,046398","4350519,43019454","435032847,656672","57134572,9470935","8209,39583302775","8209,39583302775",#DIV/0!,"24,3071824524722",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,47,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"33240,16","11258933285926,5",26414972303467,"6177053,98","420,5",1985766477815,"187349894084,5","46471,5","147798901885,5",331323615532,"258463406847,5",65,"1928926069300,5",1929118106169,2519217424376,"233814884998,5",3126487792,"133697583101,5","111926919223,5",3299579,3299579,#VALOR!,"26844,835",0,#VALOR!
Primeiro quartil,#VALOR!,"33193,2","11252202684772,5","26377382796654,5","6168435,4975",384,"1984796378094,25","187145729035,25","45613,25",147587965496,330028322853,"257977855632,5",50,1928514130916,"1928535079152,25",2517697961901,232678887944,"3122214923,5","132928831245,25","111898702600,25","3292507,25","3292507,25",#VALOR!,"26802,525",0,#VALOR!
Terceiro quartil,#VALOR!,"33279,28","11267778323452,5","26430910038400,2","6181107,38",459,"1986312712019,75",187609773996,57485,"147888290503,5","332898638127,25","258647956875,75","71,75","1930493405387,25","1929857202843,25",2519541391900,"235849454365,25","3134755027,25","134827582463,25",112181240225,"3319230,5","3319230,5",#VALOR!,"26877,83",0,#VALOR!
Variância,#DIV/0!,"7217,47778777776","1,51108282702349E+020","2,03692553412492E+021","111190375,633201","2226,1","2,68786047539378E+018","8,49705845168727E+016","66176671,2111111","6,33532026117447E+016","7,15988887745742E+018","5,00716908279532E+017","242,766666666667","2,60425598446378E+018","2,42177340724812E+018","1,91291738403993E+018","6,75757056478929E+018",189270193125002,"1,89253578540273E+018","3,26435942584675E+016","673941799,433333","673941799,433333",#DIV/0!,"5908,39118777773",0,#DIV/0!
Desvio padrão,#DIV/0!,"84,9557401696775","12292610898,5174","45132311420,1446","10544,684709995","47,1815641961985","1639469571,35342","291497143,239642","8134,90449920041","251700620,999919","2675796867,74938","707613530,311237","15,5809713004892","1613770734,78973","1556204808,90149","1383082565,87954","2599532758,93751","13757550,4042326","1375694655,58413","180675383,653855","25960,389046263","25960,389046263",#DIV/0!,"76,8660600510897",0,#DIV/0!
Curtose,#DIV/0!,"0,198639095876803","0,600867141680009","1,38114341148964","1,40338088985228","-0,952090378938498","-0,368145255968458","-1,17777495286172","-0,289651835248633","1,41768157958733","1,93475483467976","0,548089670380818","-0,799578964007784","1,05139483222114","0,576878031775701","-0,588539149199142","0,38648479464977","0,405448160420072","-0,173789891914068","-1,51826111924296","0,022682799250803","0,022682799250803",#DIV/0!,"0,224241189071113",#DIV/0!,#DIV/0!
