,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///45833,32","45833,32",20808163685360,34043008104181,"8156888,4",247,3508118380466,318597046617,30870,195146000153,431014301840,327654052837,15,3562758327190,3561887954113,4964382479633,225896916980,2430330187,125350361346,99522280278,658452,658452,"///45833,32","37502,08",0,12:04.29
,"///45860,56","45860,56",20805405033235,34060259885922,"8161364,96",224,3510627976991,318969476623,30751,195256305011,432797478024,327995588918,11,3562201188901,3563047141318,4962833431969,227175279782,2416397079,126301932870,99698584831,617354,617354,"///45860,56","37524,04",0,12:04.77
,"///45874,93","45874,93",20810054877371,34015202325220,"8153299,44",224,3510212837934,319069828198,38975,195057945159,434038967372,328027697528,24,3559983781970,3561869403863,4962679345881,227894059724,2410486170,127060976904,99889949111,570540,570540,"///45874,93","37538,71",0,12:04.67
,"///45854,05","45854,05",20811878695118,34071509510928,"8157963,59",247,3507780100710,318163588946,30731,195177218900,435291559135,328020384170,15,3563741580630,3561569634312,4961206684403,228482196786,2378897320,126283113184,99408961881,567496,567496,"///45854,05","37535,69",0,12:03.04
,"///45917,82","45917,82",20791888119516,34136303791222,"8169586,21",238,3508036943435,318542402411,30203,195443375382,434475547251,328270391392,27,3563392063415,3563061196964,4962696264533,227513763129,2353307662,126328198908,100066214387,580141,580141,"///45917,82","37575,49",0,12:05.30
,"///45775,35","45775,35",20830389639762,33963057187963,"8132286,44",204,3511804121112,318935781280,31435,194561376439,431840872870,327901306152,7,3560633045415,3561008639113,4960647572399,227887595587,2425966407,125656396357,99133700776,618530,618530,"///45775,35","37451,46",0,12:03.60
,"///45927,98","45927,98",20811039429690,34123597629306,"8165881,04",228,3508977810106,318611394422,29379,195357247804,434350828794,328931475341,19,3558412475336,3560639701782,4964096694078,227575326170,2429126980,126194620604,99426189364,576324,576324,"///45927,98","37584,45",0,12:05.48
,"///45813,43","45813,43",20788020119409,34085165517691,"8149255,89",226,3506354985409,318093367252,29467,194963891900,433101029163,327860913885,23,3567356581913,3566080514729,4963038639223,226631728655,2374022026,126044412174,99729261892,571980,571980,"///45813,43","37486,41",0,12:03.89
,"///45811,06","45811,06",20818917682594,34145658536335,"8163946,63",213,3510209361592,318614449030,28572,195318125290,434492922318,327670986285,23,3560955538219,3561064254621,4959585429091,228416655822,2394042595,126739190545,99470676183,570451,570451,"///45811,06","37479,7",0,12:04.29
,"///45893,52","45893,52",20802694592760,34128535694039,"8161140,83",226,3507128794169,318702473015,29517,195245463144,432972089669,327244017737,24,3560110332609,3557959214990,4961396817170,227577909346,2419170143,125960178148,99605544743,617442,617442,"///45893,52","37516,59",0,12:08.68
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"45856,202","20807845187481,5","34077229818280,7","8157161,343","227,7","3508925131192,4","318629980779,4",30990,"195152694918,2","433437559643,6","327957681424,5","18,8","3561954491559,8","3561818765580,5",4962256335838,"227505143198,1","2403174656,9",126191938104,"99595136344,6",594871,594871,#DIV/0!,"37519,462",0,#DIV/0!
Erro padrão,#DIV/0!,"15,5076072944864","3862142949,99466","18676215263,3909","3344,72494697744","4,29741524381549","548551357,796745","101231801,519338","928,843510321662","79440621,0143973","421445675,102972","139545906,096997","2,06988995950134","800864233,256606","656559890,307597","480593641,029105","248358256,960661","8448492,77665469","155071044,505857","83967838,49987","9797,91006513351","9797,91006513351",#DIV/0!,"13,1763568392614",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,224,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,15,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"45857,305","20809109281365,5","34078337514309,5","8159552,21",226,3508548095286,318612921726,30467,195211341022,"433569998267,5",327948447535,21,3561578363560,"3561719519087,5",4962687805207,227576617758,"2413441624,5",126238866894,"99563912510,5","578232,5","578232,5",#VALOR!,"37520,315",0,#VALOR!
